index;TravelPrice;allerdepart;allerarrivee;retourdepart;retourarrivee;allercompanie;retourcompanie;allertimetravel;retourtimetravel;allerescale;retourescales;allerdeparth;allerarriveeh;retourdeparth;retourarriveeh
401;779,65;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Klm Royal Dutch Airlines;· Air France;5 h 05 min;2 h 10 min;1 escale;direct;07:10;12:15;18:25;20:35
402;800,28;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· Klm Royal Dutch Airlines;· Klm Royal Dutch Airlines;6 h 30 min;4 h 55 min;1 escale;1 escale;07:10;13:40;06:00;10:55
403;818,88;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· ITA Airways;· ITA Airways;5 h 30 min;8 h 40 min;1 escale;1 escale;11:45;17:15;15:00;23:40
404;910,65;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Klm Royal Dutch Airlines;· Air France;6 h 30 min;2 h 10 min;1 escale;direct;07:10;13:40;18:25;20:35
405;1 329,24;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· Luxair;· Air France;6 h 55 min;2 h 10 min;1 escale;direct;12:50;19:45;12:25;14:35
406;1 329,24;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Luxair;· Air France;6 h 55 min;2 h 10 min;1 escale;direct;12:50;19:45;18:25;20:35
407;1 329,24;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Luxair;· Air France;6 h 55 min;2 h 10 min;1 escale;direct;12:50;19:45;16:25;18:35
408;1 329,24;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Luxair;· Air France;6 h 55 min;2 h 10 min;1 escale;direct;12:50;19:45;10:00;12:10
409;1 329,24;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Luxair;· Air France;6 h 55 min;2 h 10 min;1 escale;direct;12:50;19:45;20:10;22:20
410;1 329,24;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· Luxair;· Air France;6 h 55 min;2 h 20 min;1 escale;direct;12:50;19:45;06:40;09:00
